"response_id","country_of_residence","country_of_residence_group","gender","first_nz_trip","purpose_of_visit_main","purpose_subtype","single_or_others","no_people_over_15","no_people_under_15","age_range","reasons_for_travel_secondary","satisfaction_rating","expectation_rating","recommend_rating","satisfaction_reason"
"GEN24_1070957","Australia","Australia","Male","Yes","Holiday / vacation","To go sightseeing","What the visit to NZ cost just for yourself",NA,NA,"45 - 49","VFR","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Wildlife tours"
"GEN24_1070970","Singapore","Rest of Asia","Male","Yes","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",2,1,"35 - 39","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","9","The weather"
"GEN24_1071024","United States of America","USA","Male","Yes","Holiday / vacation","Just for the holiday","What the visit to NZ cost just for yourself",NA,NA,"50 - 54","VFR","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Fly Fishing"
"GEN24_1071288","Taiwan","Rest of Asia","Male","Yes","Holiday / vacation","Just for the holiday","What the visit to NZ cost just for yourself",NA,NA,"25 - 29","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Golf"
"GEN24_1071474","Malaysia","Rest of Asia","Female","No","Holiday / vacation","For a working holiday","What the visit to NZ cost just for yourself",NA,NA,"30 - 34","Other","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8","Public Facilities"
"GEN24_1071521","Australia","Australia","Female","No","Visiting friends / relatives","To visit friends","What the visit to NZ cost just for yourself",NA,NA,"30 - 34","Holiday / vacation","4 - Satisfied","Not sure","10 - Extremely likely to recommend","La météo"
"GEN24_1071536","Germany","Germany","Male","Yes","Holiday / vacation","To go sightseeing","What the visit to NZ cost just for yourself",NA,NA,"40 - 44","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","attentive and considerate fellow drivers"
"GEN24_1071538","Switzerland","Rest of Europe","Male","Yes","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"30 - 34","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","9","Modern choices in food incl. vegan..."
"GEN24_1071637","Australia","Australia","Male","No","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",2,0,"30 - 34","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Golf"
"GEN24_1071651","Japan","Japan","Female","No","Visiting friends / relatives","To visit friends","What the visit to NZ cost just for yourself",NA,NA,"20 - 24","Holiday / vacation","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","アクティビティ"
"GEN24_1071698","Australia","Australia","Male","Yes","Holiday / vacation","For some special event or occasion (non-sport-related)","What the visit to NZ cost just for yourself",NA,NA,"50 - 54","VFR","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Omaka airshow"
"GEN24_1072171","Australia","Australia","Female","Yes","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",3,1,"40 - 44","No other reason","4 - Satisfied","Not sure","5","Weta Workshop (or something like Theme park)"
"GEN24_1072355","Australia","Australia","Male","Yes","Holiday / vacation","To go sightseeing","What the visit to NZ cost just for yourself",NA,NA,"40 - 44","No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9","Hobbiton"
"GEN24_1072439","Australia","Australia","Male","Yes","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"60 - 64","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Hobbitton"
"GEN24_1072441","Australia","Australia","Female","No","Holiday / vacation","To go sightseeing","What the visit cost for you and another person / people",2,0,"65 - 69","No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","7","Hobbiton"
"GEN24_1072670","Scotland","UK","Female","No","Visiting friends / relatives","To visit family","What the visit to NZ cost just for yourself",NA,NA,"60 - 64","Holiday / vacation","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","coffee culture"
